data;preco_br;;;;
01/12/1998;14,86;;;;
02/12/1998;14,84;;;;
03/12/1998;14,84;;;;
04/12/1998;14,8;;;;
07/12/1998;14,79;;;;
08/12/1998;14,72;;;;
09/12/1998;14,69;;;;
10/12/1998;14,68;;;;
11/12/1998;14,64;;;;
14/12/1998;14,62;;;;
15/12/1998;14,48;;;;
16/12/1998;14,45;;;;
17/12/1998;14,38;;;;
18/12/1998;14,31;;;;
21/12/1998;14,29;;;;
22/12/1998;14,28;;;;
23/12/1998;14,25;;;;
28/12/1998;14,21;;;;
29/12/1998;14,16;;;;
30/12/1998;14,15;;;;
04/01/1999;14,14;;;;
05/01/1999;14,05;;;;
06/01/1999;13,97;;;;
07/01/1999;13,9;;;;
08/01/1999;13,85;;;;
11/01/1999;13,83;;;;
12/01/1999;13,71;;;;
13/01/1999;13,86;;;;
14/01/1999;13,89;;;;
15/01/1999;13,91;;;;
18/01/1999;14,39;;;;
19/01/1999;15,13;;;;
20/01/1999;15,62;;;;
21/01/1999;16,97;;;;
22/01/1999;17,16;;;;
26/01/1999;18,82;;;;
27/01/1999;19,31;;;;
28/01/1999;19,47;;;;
29/01/1999;19,9;;;;
01/02/1999;19,31;;;;
02/02/1999;18,22;;;;
03/02/1999;18,46;;;;
04/02/1999;18,36;;;;
05/02/1999;18,54;;;;
08/02/1999;18,73;;;;
09/02/1999;18,87;;;;
10/02/1999;18,47;;;;
11/02/1999;18,44;;;;
12/02/1999;18,28;;;;
17/02/1999;18,3;;;;
18/02/1999;18,22;;;;
19/02/1999;18,07;;;;
22/02/1999;17,83;;;;
23/02/1999;18,09;;;;
24/02/1999;17,71;;;;
25/02/1999;17,7;;;;
26/02/1999;17,72;;;;
01/03/1999;17,92;;;;
02/03/1999;18,13;;;;
03/03/1999;18,51;;;;
04/03/1999;18,31;;;;
05/03/1999;17,3;;;;
08/03/1999;17,2;;;;
09/03/1999;17,06;;;;
10/03/1999;16,76;;;;
11/03/1999;16,96;;;;
12/03/1999;17,01;;;;
15/03/1999;16,76;;;;
16/03/1999;16,85;;;;
17/03/1999;17,24;;;;
18/03/1999;17,19;;;;
19/03/1999;17,28;;;;
22/03/1999;17,59;;;;
23/03/1999;17,72;;;;
24/03/1999;17,61;;;;
25/03/1999;17,39;;;;
26/03/1999;17,32;;;;
29/03/1999;16,95;;;;
30/03/1999;16,75;;;;
31/03/1999;16,15;;;;
05/04/1999;15,95;;;;
06/04/1999;15,94;;;;
07/04/1999;15,78;;;;
08/04/1999;15,64;;;;
09/04/1999;15,72;;;;
12/04/1999;15,76;;;;
13/04/1999;15,49;;;;
14/04/1999;15,6;;;;
15/04/1999;15,54;;;;
16/04/1999;15,57;;;;
19/04/1999;15,6;;;;
20/04/1999;16,01;;;;
22/04/1999;15,85;;;;
23/04/1999;15,79;;;;
26/04/1999;15,76;;;;
27/04/1999;16,09;;;;
28/04/1999;16,04;;;;
29/04/1999;15,91;;;;
30/04/1999;15,88;;;;
03/05/1999;15,77;;;;
04/05/1999;16,09;;;;
05/05/1999;16,12;;;;
06/05/1999;16,11;;;;
07/05/1999;15,97;;;;
10/05/1999;15,78;;;;
11/05/1999;15,7;;;;
12/05/1999;15,67;;;;
13/05/1999;15,6;;;;
14/05/1999;15,63;;;;
17/05/1999;15,81;;;;
18/05/1999;15,79;;;;
19/05/1999;15,84;;;;
20/05/1999;15,85;;;;
21/05/1999;15,85;;;;
24/05/1999;15,61;;;;
